0,1925,22600,1380,26,33,0,108,57,0,1,,,,
0,1925,22600,1380,26,33,0,108,57,0,0,,,,
0,1925,22600,1380,26,33,0,108,57,1,1,,,,
0,1925,22600,1380,26,33,0,108,57,1,0,,,,
2,1951,22000,1200,17,55,1,38,1,0,0,,,,
2,1951,22000,1200,17,55,1,38,1,0,1,,,,
2,1951,22000,1200,17,55,1,38,1,1,0,,,,
2,1951,22000,1200,17,55,1,38,1,1,1,,,,
5,1896,60700,5494,34,142,2,443,349,1,1,,,,
5,1896,60700,5494,34,142,2,443,349,1,0,,,,
5,1896,60700,5494,34,142,2,443,349,0,1,,,,
5,1896,60700,5494,34,142,2,443,349,0,0,,,,
6,1950,30000,3000,24,85,3,100,7,0,0,,,,
6,1950,30000,3000,24,85,3,100,7,0,1,,,,
6,1950,30000,3000,24,85,3,100,7,1,0,,,,
6,1950,30000,3000,24,85,3,100,7,1,1,,,,
1,1956,33000,3800,23,66,1,101,66,1,1,,,,
1,1956,33000,3800,23,66,1,101,66,1,0,,,,
1,1956,33000,3800,23,66,1,101,66,0,1,,,,
1,1956,33000,3800,23,66,1,101,66,0,0,,,,
3,1960,45000,960,27,86,2,85,0,0,0,,,,
3,1960,45000,960,27,86,2,85,0,0,1,,,,
3,1960,45000,960,27,86,2,85,0,1,0,,,,
3,1960,45000,960,27,86,2,85,0,1,1,,,,
4,2002,9553,307,8,25,4,0,0,0,0,,,,
4,2002,9553,307,8,25,4,0,0,0,1,,,,
4,2002,9553,307,8,25,4,0,0,1,0,,,,
4,2002,9553,307,8,25,4,0,0,1,1,,,,
8,2000,34000,2600,17,78,1,77,6,0,0,,,,
8,2000,34000,2600,17,78,1,77,6,0,1,,,,
8,2000,34000,2600,17,78,1,77,6,1,0,,,,
8,2000,34000,2600,17,78,1,77,6,1,1,,,,
7,2005,20000,424,11,52,2,0,0,0,0,,,,
7,2005,20000,424,11,52,2,0,0,0,1,,,,
7,2005,20000,424,11,52,2,0,0,1,0,,,,
7,2005,20000,424,11,52,2,0,0,1,1,,,,
10,1978,16000,1200,18,59,5,0,0,0,0,,,,
10,1978,16000,1200,18,59,5,0,0,0,1,,,,
10,1978,16000,1200,18,59,5,0,0,1,0,,,,
10,1978,16000,1200,18,59,5,0,0,1,1,,,,
9,1956,17047,1258,15,0,1,0,0,0,0,,,,
9,1956,17047,1258,15,0,1,0,0,0,1,,,,
9,1956,17047,1258,15,0,1,0,0,1,0,,,,
9,1956,17047,1258,15,0,1,0,0,1,1,,,,
11,1906,50000,2968,36,105,2,204,106,0,1,,,,
11,1906,50000,2968,36,105,2,204,106,1,1,,,,
